business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to finfish farming and fish hatcheries.,19824.14,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to dairy cattle and milk production.,36390.68,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to orange groves.,18685.28,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to finfish farming and fish hatcheries.,23104.34,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to shellfish farming.,18025.01,FreshFields,Procured for shellfish farming operations.,Shellfish Farming
Activities related to sugar beet farming.,6965.23,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to sheep farming.,45876.86,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to sugar beet farming.,23724.3,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to potato farming.,10383.07,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to dry pea and bean farming.,3409.31,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to tobacco farming.,47009.64,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to all other miscellaneous crop farming.,12572.71,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to oilseed (except soybean) farming.,6055.33,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to broilers and other meat type chicken production.,35731.81,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to wheat farming.,43290.19,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to turkey production.,24475.23,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to tree nut farming.,34474.54,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to wheat farming.,11299.75,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to apiculture.,45595.87,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to sugar beet farming.,14226.04,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to cotton farming.,10630.66,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to dry pea and bean farming.,20836.35,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to turkey production.,37466.96,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to goat farming.,6217.78,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to other vegetable (except potato) and melon farming.,36200.8,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to shellfish farming.,24982.33,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to peanut farming.,38157.85,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to berry (except strawberry) farming.,26311.74,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to apiculture.,44090.56,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to orange groves.,48353.58,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to beef cattle ranching and farming.,33102.78,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to turkey production.,6615.17,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to dairy cattle and milk production.,3691.31,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to other food crops grown under cover.,11198.88,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to tree nut farming.,48458.49,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to sugar beet farming.,8135.47,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to tree nut farming.,48767.68,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to citrus (except orange) groves.,2139.79,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to sugarcane farming.,47804.9,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to wheat farming.,8050.47,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to potato farming.,18912.4,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to orange groves.,23607.49,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to mushroom production.,26712.34,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to other vegetable (except potato) and melon farming.,45350.61,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to cattle feedlots.,37988.04,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to broilers and other meat type chicken production.,32148.39,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to broilers and other meat type chicken production.,34752.9,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to all other miscellaneous crop farming.,23613.0,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to mushroom production.,42774.1,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to orange groves.,24287.51,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to sheep farming.,22114.4,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to strawberry farming.,6259.27,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to apple orchards.,3503.06,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to other food crops grown under cover.,35917.3,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to hog and pig farming.,13752.62,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to other noncitrus fruit farming.,23333.74,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to berry (except strawberry) farming.,4938.33,FreshFields,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to soybean farming.,7033.56,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to apple orchards.,45438.27,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to grape vineyards.,23730.31,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to other aquaculture.,14362.76,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to peanut farming.,47868.96,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to cotton farming.,46979.8,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to fruit and tree nut combination farming.,13974.73,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to all other grain farming.,13502.8,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to beef cattle ranching and farming.,16172.04,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to orange groves.,39163.51,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to horses and other equine production.,20050.88,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to soybean farming.,34324.99,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to other noncitrus fruit farming.,33912.15,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to dairy cattle and milk production.,4172.1,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to goat farming.,19876.8,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to beef cattle ranching and farming.,34552.69,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to poultry hatcheries.,27431.48,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to floriculture production.,28334.26,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to oilseed and grain combination farming.,37012.55,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to sheep farming.,37101.51,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to nursery and tree production.,32341.11,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to cotton farming.,28660.33,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to fur-bearing animal and rabbit production.,35050.73,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to grape vineyards.,33694.04,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to apiculture.,46614.54,CropGen,Procured for apiculture operations.,Apiculture
Activities related to apple orchards.,19222.72,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to oilseed (except soybean) farming.,45912.06,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to apple orchards.,3400.14,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to oilseed and grain combination farming.,13914.81,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to tree nut farming.,29573.92,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to grape vineyards.,42164.54,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to sheep farming.,40011.85,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to apiculture.,12550.85,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to apple orchards.,42068.42,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to citrus (except orange) groves.,17364.88,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to apiculture.,33862.82,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to potato farming.,43709.99,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to soybean farming.,16883.39,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to finfish farming and fish hatcheries.,7914.06,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to berry (except strawberry) farming.,40191.3,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to soybean farming.,28590.15,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to sugarcane farming.,42032.81,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to all other grain farming.,10205.71,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to turkey production.,27770.68,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to all other grain farming.,16793.35,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to all other animal production.,32621.61,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to finfish farming and fish hatcheries.,34682.49,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to turkey production.,6438.7,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to other poultry production.,41030.22,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to sugar beet farming.,12088.81,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to broilers and other meat type chicken production.,31011.78,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to goat farming.,16035.61,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to beef cattle ranching and farming.,22227.3,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to shellfish farming.,29124.42,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to tree nut farming.,48721.29,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to all other grain farming.,8503.82,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to corn farming.,30856.92,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to dual-purpose cattle ranching and farming.,33957.98,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to poultry hatcheries.,12279.23,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to sugar beet farming.,3455.8,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to cotton farming.,11232.85,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to mushroom production.,18824.33,EcoFarms,Procured for mushroom production operations.,Mushroom Production
Activities related to cattle feedlots.,22154.65,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to dual-purpose cattle ranching and farming.,31961.71,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to tree nut farming.,47630.06,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to floriculture production.,30046.77,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to nursery and tree production.,10015.07,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to cattle feedlots.,27871.93,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,37839.16,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to poultry hatcheries.,7067.34,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to poultry hatcheries.,19399.48,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to sugar beet farming.,2745.53,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to other food crops grown under cover.,13666.41,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to rice farming.,8800.52,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to wheat farming.,29515.76,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to peanut farming.,23615.65,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to soybean farming.,42733.41,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed and grain combination farming.,29319.99,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to oilseed and grain combination farming.,19172.72,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to wheat farming.,41276.89,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to all other grain farming.,26334.9,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to fruit and tree nut combination farming.,29806.58,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to oilseed (except soybean) farming.,30620.88,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to finfish farming and fish hatcheries.,18100.9,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to corn farming.,32580.82,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to cotton farming.,48838.87,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to floriculture production.,34405.99,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to other aquaculture.,33415.47,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to apiculture.,15642.95,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to beef cattle ranching and farming.,41057.58,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to turkey production.,40785.71,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to oilseed (except soybean) farming.,30853.12,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to grape vineyards.,36932.44,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to tree nut farming.,16033.2,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to other noncitrus fruit farming.,18666.67,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to dual-purpose cattle ranching and farming.,31444.3,EcoFarms,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to broilers and other meat type chicken production.,46912.77,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other vegetable (except potato) and melon farming.,39725.48,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to tobacco farming.,9757.16,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to finfish farming and fish hatcheries.,23854.67,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to tree nut farming.,36457.54,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,31154.58,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to strawberry farming.,6825.74,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to fur-bearing animal and rabbit production.,8654.62,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to chicken egg production.,15634.8,AgriCorp,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to poultry hatcheries.,35605.56,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to floriculture production.,45938.13,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to dry pea and bean farming.,38857.56,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to orange groves.,9572.14,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to other food crops grown under cover.,44281.06,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to fruit and tree nut combination farming.,24698.13,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to broilers and other meat type chicken production.,33204.31,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to poultry hatcheries.,5375.65,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to fur-bearing animal and rabbit production.,19072.37,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to tree nut farming.,48691.65,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to corn farming.,10769.17,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to other aquaculture.,13141.63,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to finfish farming and fish hatcheries.,38170.47,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to cotton farming.,38017.04,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to broilers and other meat type chicken production.,32137.48,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to floriculture production.,6541.97,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to oilseed (except soybean) farming.,43092.57,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to tree nut farming.,9105.46,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to floriculture production.,29966.51,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Activities related to other poultry production.,21454.67,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to broilers and other meat type chicken production.,49184.53,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to horses and other equine production.,40857.5,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to apple orchards.,5473.16,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to other aquaculture.,33214.93,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to cattle feedlots.,23318.6,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to fruit and tree nut combination farming.,8817.42,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to cotton farming.,46295.88,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to poultry hatcheries.,21244.58,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to cattle feedlots.,14319.48,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to fruit and tree nut combination farming.,45600.78,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to cotton farming.,19320.26,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to hay farming.,10246.61,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to sugar beet farming.,42606.93,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to apiculture.,35175.9,CropGen,Procured for apiculture operations.,Apiculture
Activities related to peanut farming.,5533.26,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to dual-purpose cattle ranching and farming.,37616.57,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to sheep farming.,45982.65,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to turkey production.,41418.27,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to soybean farming.,26506.11,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to beef cattle ranching and farming.,8633.03,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to apple orchards.,14699.0,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to other aquaculture.,6098.76,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to orange groves.,6842.94,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to strawberry farming.,46339.37,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to cotton farming.,39840.35,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to other noncitrus fruit farming.,37154.73,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to tobacco farming.,41157.86,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to hay farming.,36885.49,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to finfish farming and fish hatcheries.,1359.85,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to cotton farming.,46483.69,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to turkey production.,48725.5,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to dry pea and bean farming.,9358.71,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to grape vineyards.,10464.18,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to other poultry production.,19971.68,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to corn farming.,27321.29,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to turkey production.,10553.16,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to poultry hatcheries.,43018.73,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to soybean farming.,21212.8,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to citrus (except orange) groves.,19185.08,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to all other miscellaneous crop farming.,35993.0,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
